player_id,appearances,starts_estimated,goals,assists,shots,yellow_cards,red_cards,pace,shooting,passing,defending,physical,rating_source
20260061,0,0,0,0,0,0,0,64,60,52,42,57,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20180212,15,11,1,0,20,0,0,67,67,57,45,58,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260293,0,0,0,0,0,0,0,64,60,52,42,53,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20230077,0,0,0,0,0,0,0,64,60,52,42,54,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20230224,15,10,2,1,27,1,0,67,72,60,45,63,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20240241,0,0,0,0,0,0,0,64,60,52,42,58,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20220076,0,0,0,0,0,0,0,62,60,52,42,57,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250317,0,0,0,0,0,0,0,64,60,52,42,57,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260057,0,0,0,0,0,0,0,64,60,52,42,56,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20220177,0,0,0,0,0,0,0,64,60,52,42,56,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20170121,15,15,3,1,21,1,0,67,73,60,45,58,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20220042,15,5,3,1,28,4,0,66,75,59,45,57,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250330,0,0,0,0,0,0,0,64,60,52,42,56,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250083,0,0,0,0,0,0,0,64,60,52,42,59,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250335,1,0,0,0,0,0,0,62,60,52,42,55,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250061,0,0,0,0,0,0,0,62,60,52,42,60,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20220244,15,5,4,1,20,2,0,66,76,59,45,62,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20240275,0,0,0,0,0,0,0,64,60,52,42,55,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20230256,0,0,0,0,0,0,0,47,19,54,62,62,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20180025,15,15,0,0,0,0,0,50,19,59,73,66,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20190057,0,0,0,0,0,0,0,47,19,54,62,61,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250282,0,0,0,0,0,0,0,47,19,54,62,61,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20220300,0,0,0,0,0,0,0,47,19,54,62,62,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260060,0,0,0,0,0,0,0,47,19,54,62,63,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250353,5,1,0,0,8,0,0,61,50,65,56,57,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20220276,13,12,1,2,10,2,0,66,53,76,59,54,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250078,0,0,0,0,0,0,0,62,49,62,54,55,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20240108,0,0,0,0,0,0,0,60,49,62,54,55,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20150052,15,14,1,1,7,2,0,65,53,74,59,56,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20190084,9,2,0,0,2,0,0,62,49,67,57,56,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260056,0,0,0,0,0,0,0,62,49,62,54,55,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260148,0,0,0,0,0,0,0,62,49,62,54,54,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20230043,15,15,1,1,11,1,0,65,53,74,60,56,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260020,0,0,0,0,0,0,0,62,49,62,54,55,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250051,0,0,0,0,0,0,0,62,49,62,54,54,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260059,0,0,0,0,0,0,0,62,49,62,54,53,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20150104,12,0,0,2,4,0,0,63,50,74,58,54,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20240042,0,0,0,0,0,0,0,62,49,62,54,56,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20240273,3,0,0,0,0,0,0,63,49,63,55,51,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20230270,15,14,0,2,7,4,0,62,40,64,72,61,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20230308,12,12,2,0,7,4,0,61,45,59,70,64,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260300,0,0,0,0,0,0,0,60,39,54,62,59,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20230203,11,4,0,0,6,2,0,63,40,58,69,60,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250074,0,0,0,0,0,0,0,60,39,54,62,60,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20240100,0,0,0,0,0,0,0,60,39,54,62,62,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20180157,7,1,0,0,0,2,0,60,39,56,66,65,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20210112,11,11,0,0,10,3,1,61,41,58,68,59,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20240097,13,7,0,0,2,2,0,63,39,59,70,62,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20210104,14,14,0,0,7,3,0,62,40,60,72,62,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260040,0,0,0,0,0,0,0,60,39,54,62,59,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
